MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
 The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",7.8,Where in the universe is Bellamy Blake?,"
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Lindsey Morgan
","
Aprill Winney",1694,42,Not specified
 The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",7.9,"It's a new day in Sanctum. Clarke, Octavia, Raven and Echo struggle with a new foe.","
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Lindsey Morgan
","
Amanda Row",1511,42,Not specified
 The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",4.7,The red sun derails Clarke's plans.,"
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Lindsey Morgan
","
Michael Cliett",4240,41,Not specified
 The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",6.1,Clarke and her friends reckon with all that has happened only to find an unexpected threat looming.,"
Eliza Taylor, 
Marie Avgeropoulos, 
Lindsey Morgan, 
Richard Harmon
","
Jessica Harmon",2203,42,Not specified
 The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",6.6,Clarke and Octavia mount a desperate rescue mission as the Disciples close in on what they want.,"
Eliza Taylor, 
Marie Avgeropoulos, 
Lindsey Morgan, 
Richard Harmon
","
Ian Samoil",1903,42,Not specified
 The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",6.9,"After all the fighting and loss, Clarke and her friends have reached the final battle. But is humanity worthy of something greater.","
Eliza Taylor, 
Marie Avgeropoulos, 
Lindsey Morgan, 
Richard Harmon
","
Jason Rothenberg",3321,43,Not specified
 Behind Her Eyes,2021,"
Drama, Mystery, Thriller            ",7,"A spilled drink at a bar leads to an awkward day at work for Louise, who's shaken again by night terrors. David introduces Adele to his new colleagues.","
Simona Brown, 
Eve Hewson, 
Tom Bateman, 
Robert Aramayo
","
Erik Richter Strand",1129,50,Not specified
 Lucifer,2016-2021,"
Crime, Drama, Fantasy            ",8.6,"After spending an eternity in hell, Lucifer returns to the land of the living - but there's something a little different about this handsome devil.","
Tom Ellis, 
Lauren German, 
Kevin Alejandro, 
D.B. Woodside
","
Sherwin Shilati",3377,56,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",8.5,"A year after her mom passed away, Julie plays one of her old CDs. Suddenly, three ghosts appear - the guys from the '90s band Sunset Curve.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kenny Ortega",452,38,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",8.9,"When Julie starts singing again, the boys and her best friend Flynn encourage her to fight for a spot in the school music program.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kenny Ortega",424,32,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",8.8,"Julie's performance makes a big splash, and the guys try to convince her to join Sunset Curve - but she'll have to come clean to Flynn first.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Paul Becker",401,28,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",8.6,"Flynn books Julie and the Phantoms to play at the school dance, Alex hangs out with his new crush, and the boys decide to teach an old friend a lesson.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kenny Ortega",392,31,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",8.3,"Willie brings the guys to an exclusive club, where a powerful ghost magician asks them to be in his band. But he's got something up his sleeve.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kenny Ortega",393,30,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",8.9,"Julie pairs up with Nick for a school performance and learns he broke up with Carrie. The band gets a new gig, but Julie's grounded for missing class.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kristin Hanggi",399,29,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",9.1,Julie rehearses with Nick - while daydreaming about Luke. Alex wonders why Willie's been acting so weird. The band plays a party at Julie's house.,"
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kabir Akhtar",429,27,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",9.4,"Julie meets Luke's parents and shares a touching song he wrote. Luke confides in Julie about Caleb and the band's ""unfinished business.""","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kabir Akhtar",489,24,Not specified
 Julie and the Phantoms,2020,"
Comedy, Drama, Family            ",9.4,"Julie and the Phantoms get their dream gig at the Orpheum. But when Caleb interferes, Julie searches for the courage to perform on her own.","
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
","
Kenny Ortega",451,35,Not specified
 13 Reasons Why,2017-2020,"
Drama, Mystery, Thriller            ",5.7,"After an incident at school, Clay thinks someone's trying to set him up. Zach and Clay land in hot water during a college tour.","
Dylan Minnette, 
Grace Saif, 
Christian Navarro, 
Alisha Boe
","
Russell Mulcahy",1597,58,Not specified
 The Umbrella Academy,2019,"
Action, Adventure, Comedy            ",8.4,"As the sit-in approaches, Allison reconnects with Klaus. The Swedes chase Vanya into a cornfield. Luther makes a distressing discovery.","
Elliot Page, 
Tom Hopper, 
David Castaeda, 
Emmy Raver-Lampman
","
Stephen Surjik",3120,48,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7,"Struggling with his career and swigging cocaine, Freud is pulled into a gruesome crime, then into an exclusive seance led by a mesmerizing psychic.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",491,57,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7.4,"His theories opposed, Freud tips off authorities searching for a lost innocent. But he'll have to collaborate with an outsider to get to the truth.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",379,55,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7.2,"A duel takes a startling turn, with dire consequences. Sophia plants deadly seeds, a dreamer awakens and Freud learns how to unlock a shuttered mind.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",330,56,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7,Dr. Freud's life is in danger. Police inspector Kiss and Dr. Freud are facing a strange suicide. Sophie hypnotizes Fleur and sends her to a private audience with Crown Prince Rudolf.,"
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",306,51,Not specified
 Freud,2020,"
Crime, History, Thriller            ",6.8,"A relationship between Fleur and Dr. Freud develops in unexpected direction, as Fleur is possessed by the other personality. Freud tries to find out, who is Taltos. Sophia and her husband organize strange ceremony for invited guests.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",292,55,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7,"Freud is obsessed with a pianist, who had lived in neighbouring apartment and committed suicide. Fleur is found in the asylum and Freud tries to help her, but he has problems in his work.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",261,49,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7.3,"Freud and Fleur must hide themselves, accompanied by the two friendly policemen. Dr. Freud explores his and Fleur's subconscious in order to heal her. Sophia and Victor plot vengeance upon the Austrian court.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",275,44,Not specified
 Freud,2020,"
Crime, History, Thriller            ",7.4,"The showdown at the emperor's Ball of Nations. The court covers up preceding events and Freud has to make a step forward in his life, with a help of loving ones.","
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
","
Marvin Kren",282,53,Not specified
 Grand Army,2020,"
Drama            ",7.7,"Exposed and suspicious, Sid looks for his betrayer while dealing with his family's disappointment. Dom lets her vulnerability show and shine at an internship interview. Leila tries to make ...                
","
Odessa Azion, 
Odley Jean, 
Amir Bageria, 
Maliq Johnson
","
Silas Howard",98,49,Not specified
 Grand Army,2020,"
Drama            ",7.7,"Joey copes with a difficult setback in her case. Choking under pressure, Dom breaks trust with a teacher - and John. The real Sid stands up.","
Odessa Azion, 
Odley Jean, 
Amir Bageria, 
Maliq Johnson
","
Silas Howard",99,49,Not specified
 Grand Army,2020,"
Drama            ",8.3,"Dom, Joey and Sid find some release. After helping to lead the Black Student Union sit-in, Jayson stuns the crowd at his Lincoln Centre performance.","
Odessa Azion, 
Odley Jean, 
Amir Bageria, 
Maliq Johnson
","
Clement Virgo",128,71,Not specified
 Valeria,2020,"
Comedy, Drama, Romance            ",7.4,Not specified,"
Diana Gmez, 
Silma Lpez, 
Paula Malia, 
Teresa Riott
","
Inma Torrente",72,Not specified,Not specified
 Valeria,2020,"
Comedy, Drama, Romance            ",7.3,Not specified,"
Diana Gmez, 
Silma Lpez, 
Paula Malia, 
Teresa Riott
","
Nely Reguera",62,Not specified,Not specified
 Valeria,2020,"
Comedy, Drama, Romance            ",7.5,Not specified,"
Diana Gmez, 
Silma Lpez, 
Paula Malia, 
Teresa Riott
","
Inma Torrente",60,Not specified,Not specified
 The Politician,2019,"
Comedy, Drama            ",8.1,"Frustrated with his polling numbers, Payton goes to Georgina for help as he weighs using his opponents hush-hush love life to score political points.","
Ben Platt, 
Judith Light, 
Lucy Boynton, 
Zoey Deutch
","
Brad Falchuk",503,50,Not specified
 Cannon Busters,2019,"
Animation, Fantasy            ",6.5,Not specified,"
Ogie Banks, 
Greg Chun, 
Kevin Grevioux, 
Elizabeth Maxwell
",Not specified,62,Not specified,Not specified
 Cannon Busters,2019,"
Animation, Fantasy            ",6.7,Not specified,"
John Eric Bentley, 
D.C. Cody, 
Catero Colbert, 
Trevor Devall
",Not specified,45,Not specified,Not specified
 Cannon Busters,2019,"
Animation, Fantasy            ",6.9,Not specified,"
John Eric Bentley, 
D.C. Cody, 
Catero Colbert, 
Mela Lee
",Not specified,40,Not specified,Not specified
 Cannon Busters,2019,"
Animation, Fantasy            ",6.8,Not specified,"
Ogie Banks, 
Greg Chun, 
Kevin Grevioux, 
Mela Lee
",Not specified,38,Not specified,Not specified
